time,台湾
2000,2227.6672
2001,2240.5568
2002,2252.0776
2003,2260.455
2004,2268.9122
2005,2277.0383
2006,2287.6527
2007,2295.836
2008,2303.7031
2009,2311.9772
2010,2316.2123
2011,2322.4912
2012,2331.5822
2013,2337.3517
2014,2343.3753
2015,2348.1792
2016,2352.993
2017,2357.8166
2018,2362.6501
